stt,file_path,duration,lastest_used_value
1,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\059 Bé Cá.mp4,5:17,18370698
2,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\060 Bé Cá.mp4,4:56,18370704
3,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\061 Bé Cá.mp4,5:14,18370714
4,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\062 Bé Cá.mp4,4:15,18370778
5,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\063 Bé Cá.mp4,3:45,18370842
6,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\064 Bé Cá.mp4,4:12,18370852
7,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\065 Bé Cá.mp4,3:59,18370933
8,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\066 Bé Cá.mp4,4:01,18371081
9,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\067 Bé Cá.mp4,4:47,18370982
10,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\068 Bé Cá.mp4,6:04,18372180
11,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\069 Bé Cá.mp4,5:35,18372226
12,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\070 Bé Cá.mp4,4:44,18372354
13,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\071 Bé Cá.mp4,4:53,18372361
14,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\072 Bé Cá.mp4,6:00,18372254
15,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\073 Bé Cá.mp4,6:07,18372267
16,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\074 Bé Cá.mp4,3:53,18372555
17,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\075 Bé Cá.mp4,4:17,18371567
18,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\076 Bé Cá.mp4,4:25,18371557
19,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\077 Bé Cá.mp4,4:50,18371547
20,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\078 Bé Cá.mp4,4:46,18371551
22,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\080 Bé Cá.mp4,4:37,18372611
23,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\081 Bé Cá.mp4,6:19,18371535
24,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\082 Bé Cá.mp4,5:37,18371540
25,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\083 Bé Cá.mp4,4:46,18371571
26,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\084 Bé Cá.mp4,3:33,18371664
27,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\085 Bé Cá.mp4,3:08,18371836
28,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\086 Bé Cá.mp4,5:15,18371561
30,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\088 Bé Cá.mp4,4:07,18371626
31,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\089 Bé Cá.mp4,4:06,18371638
32,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\090 Bé Cá.mp4,3:13,18371985
33,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\091 Bé Cá.mp4,2:35,18372259
34,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\092 Bé Cá.mp4,4:22,18371638
35,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\093 Bé Cá.mp4,3:59,18371778
36,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\094 Bé Cá.mp4,4:26,18371744
37,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\095 Bé Cá.mp4,3:16,18372137
38,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\096 Bé Cá.mp4,4:50,18371532
39,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\097 Bé Cá.mp4,3:41,18372424
40,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\098 Bé Cá.mp4,3:44,18372614
41,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\099 Bé Cá.mp4,2:52,18374208
42,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\100 Bé Cá.mp4,3:17,18374212
43,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\101 Bé Cá.mp4,2:48,18374230
44,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\102 Bé Cá.mp4,3:44,18374224
45,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\103 Bé Cá.mp4,3:41,18374239
46,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\104 Bé Cá.mp4,4:00,18374325
47,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\105 Bé Cá.mp4,3:18,18373190
48,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\106 Bé Cá.mp4,3:45,18373144
49,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\107 Bé Cá.mp4,4:08,18373117
50,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\108 Bé Cá.mp4,4:27,18373105
51,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\109 Bé Cá.mp4,4:00,18373134
52,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\110 Bé Cá.mp4,4:24,18373112
53,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\111 Bé Cá.mp4,4:19,18373118
54,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\112 Bé Cá.mp4,4:54,18373098
55,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\113 Bé Cá.mp4,3:54,18373157
56,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\114 Bé Cá.mp4,4:04,18373054
57,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\115 Bé Cá.mp4,4:24,18373122
58,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\116 Bé Cá.mp4,3:08,18373266
59,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\117 Bé Cá.mp4,3:40,18373193
60,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\118 Bé Cá.mp4,4:04,18373152
61,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\119 Bé Cá.mp4,3:48,18373208
62,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\120 Bé Cá.mp4,4:50,18373116
63,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\121 Bé Cá.mp4,3:14,18373303
64,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\122 Bé Cá.mp4,3:31,18373268
65,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\123 Bé Cá.mp4,5:59,18373088
66,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\124 Bé Cá.mp4,4:12,18373185
67,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\125 Bé Cá.mp4,4:23,18373169
68,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\126 Bé Cá.mp4,5:11,18373114
69,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\127 Bé Cá.mp4,5:06,18373121
70,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\128 Bé Cá.mp4,4:48,18373148
71,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\129 Bé Cá.mp4,3:28,18373335
72,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\130 Bé Cá.mp4,3:15,18373687
73,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\131 Bé Cá.mp4,4:46,18373316
74,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\132 Bé Cá.mp4,4:00,18373515
75,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\133 Bé Cá.mp4,4:29,18373410
76,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\134 Bé Cá.mp4,2:33,18374456
77,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\135 Bé Cá.mp4,3:07,18374285
78,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\136 Bé Cá.mp4,3:29,18374180
79,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\137 Bé Cá.mp4,3:07,18374514
80,\\nashp\DATABUHP\.HP_PROJECTs\.vid_Hoàn thiện_ Lưu\Bé Cá\138 Bé Cá.mp4,3:24,18374909
