stt,file_path,duration,lastest_used_value
1,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 1\KBT001.mp4,2:40,43786367
2,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 04\KTB004.mp4,6:32,43543473
3,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 06\Bluey Fun Toys - Snow Day Slide Play - Heeler Family Memories.mp4,4:22,41964536
4,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 18\Bluey Fun Toys - Set Up A Tent For Teddy Bear Indoor - The Heeler Family Fun Moments.mp4,5:49,45783049
5,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 19\Bluey Fun Toys Instructions for recycling toys from garbage.mp4,3:57,43436261
6,"\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 20\Bluey Toy Playground Escapade Friendship, Laughter, and Life Lessons with Bluey and Bingo!.mp4",2:50,38680743
7,"\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 21\Bluey, Be Careful A Foam Slide Adventure Full of Surprises!  Fun story for children.mp4",2:55,38442598
8,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 22 (Tuan)\Bluey 22(Tuấn).mp4,2:55,37416615
9,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 24(Tuan)\Bluey KT 24.mp4,2:28,37157249
10,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 26\C KTB026.mp4,2:58,43526910
11,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 30\C KTB030.mp4,4:25,43262337
12,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 31\C KTB031.mp4,3:44,43261755
13,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 40 (Linh)\CKTB040  (Linh).mp4,3:58,37733254
14,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 41 (Linh)\Bluey KT41.mp4,3:18,37059891
15,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 46\Bluey's Holiday on Stage - Bluey Transforms into a Knight.mp4,3:54,41885236
16,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 50 (Quang)\Bluey And Bingo Camping In The Forest - Safety Rules When Exploring.mp4,17:37,35676912
17,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 50 (Quang)\CKTB50 Quang sua.mp4,2:47,38356458
18,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 51 (Quang)\CKTB 51 ghep.mp4,18:40,35676704
19,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 52\V052 Quang sua.mp4,4:29,36721897
20,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 53 (Quang)\V53.mp4,3:13,32911374
21,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 54 (Quang)\V54.mp4,3:28,37129761
22,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 55 Quang\BLUEY - The Tomat Thief - Safety Lessons For Kids  Bluey Pretend Play Stories.mp4,3:15,35316396
23,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 56 Quang\Bluey's Family  Who Is Good Police - Toys Learning Video For Kids!.mp4,4:02,35501777
24,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 57 Quang\CKTB057Quang.mp4,4:29,35417054
25,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 59 Quang\Bluey Toys Be Careful - There Are Thieves In Bluey's house 👻 - Kids Learning Video.mp4,3:41,34817052
26,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 60\bluey_V60_Thao_V2_1.mp4,3:46,36617194
27,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 61(thao)\Bluey_V61_Thao.mp4,3:31,36113109
28,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 62(Thao)\Bluey_Thao_V62.mp4,3:31,35927096
29,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 63(Thao)\Bluey_Thao_V63 (đã sửa).mp4,3:46,35060508
30,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 64(Thao)\Bluey_Thao_V64 (đã sửa).mp4,3:56,34970410
31,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 65 (Thao)\Bluey_Thao_V65.mp4,3:41,34735530
32,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 66 (Thao)\Bluey_V66_Thao.mp4,2:43,34639321
33,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 67 (Thao)\Bluey_V67_Thao.mp4,3:54,34272616
34,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 70 Quang\V 70.mp4,4:34,34733587
35,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 71 Quang\CKTB071 Quang.mp4,3:24,34717166
36,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 72 Quang\KbB72 Quang.mp4,2:37,34297773
37,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 73 Quang\KB73 Quang.mp4,3:44,34042416
38,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 74 Quang\KB74 Quangmp4.mp4,3:24,34277557
39,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 75\KB75 Quang.mp4,2:37,33065223
40,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 76 Quang\CKTB76 Quang.mp4,3:23,32921251
41,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 77 Quang\V77 Quang.mp4,3:56,32393441
42,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 78 Quang\Mischievous BLUEY! Bluey Pretends To Be Sick - Pretend Play With Bluey Toys.mp4,3:29,32373340
43,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 82\KB 82 Funtoys.mp4,3:04,31099690
44,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 86\CKTB86.mp4,3:37,31259634
45,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 87\CKTB087.mp4,3:53,31184315
46,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 88\CKTB088.mp4,3:44,31102546
47,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 89\KB 89.mp4,2:39,30477326
48,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 92\KB 92_Da Sua.mp4,3:33,30476537
49,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 102\KB 102 - Khai thác.mp4,4:09,30577095
50,\\nashp\DATABUHP\Nam SEO\Bluey Khai thác\.Bluey Funtoys\.Đa Up\KT 103\KT103.mp4,3:22,30041733
