stt,file_path,duration,lastest_used_value
1,\\Fmc\E\Findtoys\V1\1.mp4,7:32,112554241
2,\\Fmc\E\Findtoys\V10\10.mp4,5:21,111714701
3,\\Fmc\E\Findtoys\V100\V100.MP4,5:30,108165200
4,\\Fmc\E\Findtoys\V101\101.mp4,4:45,108172870
5,\\Fmc\E\Findtoys\V102\V102 - sửa.mp4,4:40,108154755
6,\\Fmc\E\Findtoys\V102\V102.mp4,4:40,108170553
7,\\Fmc\E\Findtoys\V103\103.mp4,11:57,108149240
8,\\Fmc\E\Findtoys\V104\104.mp4,7:54,108154106
9,\\Fmc\E\Findtoys\V105\V105.mp4,9:23,11459297
10,\\Fmc\E\Findtoys\V106\106.mp4,7:57,108153380
11,\\Fmc\E\Findtoys\V107\107.mp4,8:01,108153317
12,\\Fmc\E\Findtoys\V108\108.mp4,6:36,108150569
13,\\Fmc\E\Findtoys\V109\V109.mp4,8:27,108150673
15,\\Fmc\E\Findtoys\V11\11.mp4,3:49,111776694
16,\\Fmc\E\Findtoys\V112\V110 - sửa.mp4,6:56,108064591
17,\\Fmc\E\Findtoys\V112\V110.mp4,6:56,108080948
18,\\Fmc\E\Findtoys\V113\113.mp4,4:57,107980224
19,\\Fmc\E\Findtoys\V114\114.mp4,5:34,107992659
20,\\Fmc\E\Findtoys\V115\115.mp4,4:51,107994831
21,\\Fmc\E\Findtoys\V116\116.mp4,5:23,107454259
22,\\Fmc\E\Findtoys\V117\117.mp4,4:18,107977781
23,\\Fmc\E\Findtoys\V118\118.mp4,3:55,107969333
24,\\Fmc\E\Findtoys\V119\119.mp4,5:32,107972017
25,\\Fmc\E\Findtoys\V12\2022_10_05_16_06_IMG_2333.MOV,4:33,89398428
27,\\Fmc\E\Findtoys\V12\V12.mp4,9:13,101260254
31,\\Fmc\E\Findtoys\V120\120.mp4,4:25,107974110
32,\\Fmc\E\Findtoys\V121\121.mp4,4:25,11463911
33,\\Fmc\E\Findtoys\V122\122.mp4,5:04,107912769
34,\\Fmc\E\Findtoys\V123\123.mp4,4:44,107907508
35,\\Fmc\E\Findtoys\V124\124.mp4,3:45,107905460
36,\\Fmc\E\Findtoys\V125\V125.mp4,4:45,11464483
37,\\Fmc\E\Findtoys\V126\V126.mp4,6:19,107282621
38,\\Fmc\E\Findtoys\V127\V127.mp4,7:14,107284770
39,\\Fmc\E\Findtoys\V13\V13.mp4,10:59,101057493
40,\\Fmc\E\Findtoys\V131\V131.mp4,6:43,106879218
41,\\Fmc\E\Findtoys\V132\V132.mp4,3:56,11465121
42,\\Fmc\E\Findtoys\V133\V133.mp4,4:44,106878707
43,\\Fmc\E\Findtoys\V134\134.mp4,3:58,107310126
44,\\Fmc\E\Findtoys\V135\135.mp4,4:11,107292708
45,\\Fmc\E\Findtoys\V136\136.mp4,3:52,107306766
46,\\Fmc\E\Findtoys\V138\V138 - Copy.mp4,3:33,107022620
47,\\Fmc\E\Findtoys\V138\V138.mp4,3:33,107022620
48,\\Fmc\E\Findtoys\V139\139.mp4,5:06,106940607
49,\\Fmc\E\Findtoys\V14\14.mp4,8:06,101259894
50,\\Fmc\E\Findtoys\V144\144.mp4,5:08,107029095
51,\\Fmc\E\Findtoys\V146\146.mp4,5:16,107024204
52,\\Fmc\E\Findtoys\V148\V148.mp4,4:12,107020060
53,\\Fmc\E\Findtoys\V149\V149.mp4,5:53,107023232
54,\\Fmc\E\Findtoys\V15\15.mp4,5:01,111780343
55,\\Fmc\E\Findtoys\V150\150.mp4,5:21,106939156
56,\\Fmc\E\Findtoys\V151\V151.mp4,4:57,106936173
57,\\Fmc\E\Findtoys\V152\152.mp4,5:13,106936177
58,\\Fmc\E\Findtoys\V153\V153.mp4,5:07,106937838
59,\\Fmc\E\Findtoys\V154\E154D.mp4,6:17,54081614
60,\\Fmc\E\Findtoys\V155\E155D.mp4,6:16,52873867
61,\\Fmc\E\Findtoys\V156\V156.mp4,5:38,106869347
62,\\Fmc\E\Findtoys\V157\E157D.mp4,7:04,52871611
63,\\Fmc\E\Findtoys\V158\E158D.mp4,6:15,52870538
64,\\Fmc\E\Findtoys\V159\E159D.mp4,5:24,52869570
65,\\Fmc\E\Findtoys\V16\16.mp4,5:24,111779547
66,\\Fmc\E\Findtoys\V160\E160D.mp4,6:22,51382276
67,\\Fmc\E\Findtoys\V161\V161.mp4,6:13,106792226
68,\\Fmc\E\Findtoys\V162\V162.mp4,6:25,106269414
69,\\Fmc\E\Findtoys\V163\E163D.mp4,5:22,51123827
70,\\Fmc\E\Findtoys\V164\V164.mp4,3:23,106698114
71,\\Fmc\E\Findtoys\V165\E165D.mp4,5:41,51722492
72,\\Fmc\E\Findtoys\V166\V166.mp4,4:28,106424142
73,\\Fmc\E\Findtoys\V167\V167.mp4,3:34,106423091
74,\\Fmc\E\Findtoys\V169\169.mp4,4:52,106351571
75,\\Fmc\E\Findtoys\V17\V17.mp4,5:59,111536397
76,\\Fmc\E\Findtoys\V170\170.mp4,3:32,106530894
77,\\Fmc\E\Findtoys\V171\171.mp4,6:26,106500675
78,\\Fmc\E\Findtoys\V175\175.mp4,6:54,106420025
79,\\Fmc\E\Findtoys\V176\176.mp4,6:28,105732406
80,\\Fmc\E\Findtoys\V178\178.mp4,6:19,106330231
81,\\Fmc\E\Findtoys\V18\V18.mp4,4:52,111527916
82,\\Fmc\E\Findtoys\V180\V180.mp4,3:46,106354280
83,\\Fmc\E\Findtoys\V181\V181.mp4,4:30,106327311
84,\\Fmc\E\Findtoys\V182\V182.mp4,5:28,106262410
85,\\Fmc\E\Findtoys\V184\V184.mp4,5:28,106356500
86,\\Fmc\E\Findtoys\V185\V185.mp4,3:08,106327192
87,\\Fmc\E\Findtoys\V186\V186.mp4,5:23,106166986
88,\\Fmc\E\Findtoys\V19\19.mp4,10:55,100993209
89,\\Fmc\E\Findtoys\V191\191.mp4,4:19,106096463
90,\\Fmc\E\Findtoys\V192\192.mp4,5:41,105561180
91,\\Fmc\E\Findtoys\V193\193.mp4,5:53,106081433
92,\\Fmc\E\Findtoys\V194\V194.mp4,5:52,105124169
93,\\Fmc\E\Findtoys\V195\195.mp4,7:53,105294154
94,\\Fmc\E\Findtoys\V196\V196.mp4,5:02,105641596
95,\\Fmc\E\Findtoys\V197\V197.mp4,4:52,105571148
96,\\Fmc\E\Findtoys\V198\V198-001.mp4,5:54,11469514
97,\\Fmc\E\Findtoys\V199\V199.mp4,4:36,105036904
98,\\Fmc\E\Findtoys\V2\2.mp4,5:38,112554613
99,\\Fmc\E\Findtoys\V20\V20.mp4,5:40,111189723
100,\\Fmc\E\Findtoys\V200\200.mp4,5:25,105128051
101,\\Fmc\E\Findtoys\V201\201.mp4,5:08,105057766
102,\\Fmc\E\Findtoys\V202\202.mp4,6:15,105056298
103,\\Fmc\E\Findtoys\V203\203.mp4,6:40,104943738
104,\\Fmc\E\Findtoys\V203\V203- K\C0166.MP4,4:33,264329384
105,\\Fmc\E\Findtoys\V204\V204\V204.mp4,4:33,104608923
106,\\Fmc\E\Findtoys\V205\V205--.mp4,4:03,104955874
107,\\Fmc\E\Findtoys\V206\V206.mp4,6:49,105037126
108,\\Fmc\E\Findtoys\V208\V208.mp4,6:18,104608481
109,\\Fmc\E\Findtoys\V208\V208-Y\C0170.MP4,4:23,264327473
113,\\Fmc\E\Findtoys\V208\V208-Y\C0176.MP4,1:52,264325834
114,\\Fmc\E\Findtoys\V209\209.mp4,6:49,104950037
118,\\Fmc\E\Findtoys\V209\V209-Y\3.MP4,5:34,264321409
132,\\Fmc\E\Findtoys\V21\V21.mp4,5:42,111189314
