stt,file_path,duration,lastest_used_value
1,\\Fmc\E\may cay\372GD\V372GD.mp4,4:13,32505919
3,\\Fmc\E\may cay\407GA\407GA mini1.mp4,4:40,34415230
4,\\Fmc\E\may cay\409GA\409GA mini1.mp4,3:53,35939993
5,\\Fmc\E\may cay\410GA\410GA.mp4,3:26,35939634
6,\\Fmc\E\may cay\438FA\438FA mini1.mp4,5:33,40875066
7,\\Fmc\E\may cay\447FA\447FA mini1.mp4,5:19,40872852
8,\\Fmc\E\may cay\452HA\452HA mini1.mp4,5:03,40178024
9,\\Fmc\E\may cay\453HA\453HA mini1.mp4,5:14,40260864
10,\\Fmc\E\may cay\454FA\454FA mini1.mp4,4:35,40865637
11,\\Fmc\E\may cay\457FD\457FD.mp4,6:44,37340029
12,\\Fmc\E\may cay\458HA\458HA mini1.mp4,4:46,38565961
13,\\Fmc\E\may cay\459GA\459GA mini1.mp4,3:48,39501035
14,\\Fmc\E\may cay\460GA\460GA mini1.mp4,3:29,38876594
15,\\Fmc\E\may cay\461GA\461GA mini1.mp4,4:19,38564724
16,\\Fmc\E\may cay\462HD\462HD_3.mp4,6:58,36126709
17,\\Fmc\E\may cay\463FA\463FA mini1.mp4,5:36,38876108
18,\\Fmc\E\may cay\464FA\464FA mini1.mp4,5:21,34674027
19,\\Fmc\E\may cay\465FA\465FA mini1.mp4,6:35,38445551
20,\\Fmc\E\may cay\466FD\466FD.mp4,7:15,37341377
21,\\Fmc\E\may cay\467FD\V467FD.mp4,6:59,36046259
23,\\Fmc\E\may cay\470HA\470HA mini1.mp4,5:34,38446260
24,\\Fmc\E\may cay\471HD\V471.mp4,5:15,37689827
25,\\Fmc\E\may cay\472HA\472HA mini1.mp4,4:36,36825842
26,\\Fmc\E\may cay\473HD\473HD.mp4,6:19,36120455
27,\\Fmc\E\may cay\477FD\477FD_1.mp4,5:02,36812644
28,\\Fmc\E\may cay\478GA\478GA.mp4,4:25,35939079
29,\\Fmc\E\may cay\479DA\479DA mini1.mp4,4:43,37687210
30,\\Fmc\E\may cay\480GD\480GD.mp4,4:00,34908985
31,\\Fmc\E\may cay\481HD\481HD.mp4,4:36,36121427
32,\\Fmc\E\may cay\482HD\V482HD.mp4,3:29,36122427
33,\\Fmc\E\may cay\483HD\V483HD.mp4,3:09,36122095
34,\\Fmc\E\may cay\484HD\484HD_1.mp4,4:41,35885756
35,\\Fmc\E\may cay\485HD\V485HD.mp4,3:04,31910490
36,\\Fmc\E\may cay\486HD\V486HD sửa.mp4,4:37,34907411
37,\\Fmc\E\may cay\487HD\V487HD.mp4,3:54,35338281
38,\\Fmc\E\may cay\488HD\V488HD.mp4,3:39,34849286
39,\\Fmc\E\may cay\492HA\492HA mini1.mp4,4:37,36825344
40,\\Fmc\E\may cay\494GB\494.mp4,3:45,33176327
